user_id,text,NPS_Score
3074457347487777543,"Wireframe and wireframe 'templates' are impossible to find/ come by and nothing is free.
",0
3074457346925614583,Connection is extremely unstable and slow,0
3074457347797810818,"loading time is so long
sometimes i cant get into the board and im felling unstable to use in business",2
3074457347345528768,I needed a mindmap and although it is possible to create a mindmap with miro it is not easy. It is also very annoying when trying to edit the mindmap. ,2
3074457346096702382,Wonky interface / interaction with shapes and stickies. Lack of ability to align shapes easily. ,3
3074457347215960516,"The Miro board is not conducive to scrolling and reading stuff on parallel frames. The boards are horizontal and people keep populating the right side. So there is no easy way to compare stuff across frames. 
Also the text is not 'wrapped' and auto-text fonted. So on a cursory glance you don't see stuff written in several sticky notes if people dont write short notes. The text disappears till you go and double click on it.
Also the incompatibility with IE and dependence on Chrome. Chrome has its own privacy issues and many people avoid using Chrome/Firefox for obvious reasons.",4
3074457346249002751,"We often use it sort analysis the results of research. Compared to traditional sticknotes on a wall, it is really hard to scan a lot of items, quickly zooming in on some detail, then back out to bigger patterns.",4
3074457345803933044,There is no suitable package for us.,4
3074457346652564200,"Super slow. Really awkward to switch between drag and mouse modes Seems like it's built for trackpad use, mouse and Wacom tablet use are not great. ",4
3074457346460227854,"It's a real resource hog, and people overuse it for repeatable patterns other tools are equally capable of so I've grown to loathe Miro from initially being very excited by it",4
3074457347696429755,"Missing some basic functionality to make it everyday use such as spell check, copy and paste. Having to use the mouse all the time to do something simple is annoying; there should be keyboard shortcuts to make the use more efficient. eg; tab to crea a new branch on a mindmap; enter to create a new node. I really want to migrate 3 tools that I use everyday to Miro; but right now, there is a lot that I will have to put up with to make the transition; although it would be nice to work on one board. Best feature you have are the templates. 
",4
3074457346870890561,"Your board is not stable at all. There are plenty of bags and I have to reload it too often to continue using it
",5
3074457347895106643,"Clarity on how to share on collaborate on boards without cost. I am pretty disappointed, that I can only collborate with others via the link without costs. End even this does not work with everybody and we do not know why. Also as an independent you work with other independents: It makes me upset, that I still have to grant and pay access for others independents, who also pay for Miro. This means if I work on several projects with different independents, costs sum up to an unacceptable level. This is not an option. ",5
3074457346540709505,"I've asked a few times for a simple change to the Mindmaps where I could click on a button (where the + currently resides, perhaps have a minus as well), and then the frame is reduced and I can see more of the mindmap or focus on a smaller portion without having to move around so much to try to find stuff in a larger mindmap.  If you guys do this, the score will go way up.",5
3074457346540709505,"I've asked a few times for a simple change to the Mindmaps where I could click on a button (where the + currently resides, perhaps have a minus as well), and then the frame is reduced and I can see more of the mindmap or focus on a smaller portion without having to move around so much to try to find stuff in a larger mindmap.  If you guys do this, the score will go way up.",5
3074457345949422283,"Still exploring and experimenting with team members.
Interesting templates for Agile and so on has a lot of potentials",5
3074457347814198494,"the board is great but I a coupe of days ago – I assume after some technical improvements – my board accidentally became a full mess. all of the sticky notes, connection lines, pictures which were not locked – they're all in random places now and I couldn't find any form to contact support. hopefully this message will be able to call your attention to the problem your clients have ",5
3074457347138152129,sticky note に書いていると、×マーク後に同じ入力が繰り返されます。,5
3074457346822365367,"I really want to use Miro for live whiteboarding, but your automatic recognition of drawing shapes from hand-drawn shapes (e.g., from a PC or tablet with a touchscreen/stylus) is just too primitive and inaccurate. Secondarily, your mindmapping tools are unusable (can't move or rearrange nodes).",5
3074457347616284065,"I'd like more flexibility in the formatting of elements. And more reliability in editing. Had a mindmap element the other day that connected to itself and found no way to disconnect that.
Most of all: In Germany we need the ability to host in Europe so that data protection laws are observed. Biggest problem when using that in my university classes.",5
3074457346681595479,Hard to use template. I think value of miro to me will be more if I can plug values and use the template instead of spending time on customizing it,5
3074457347721938574,"I actually like this tool, but i find that there should be a tutorial showing the functionality. I have had to do a lot by trial and error. The current videos that are on the page really just show the benefits of Miro, rather than showing how to use/design a tool. This is especially important now, as many people have been encouraged to use digital platforms that they may not be used to, so to prevent an added level of frustration, simple, clear instructions need to be provided. Saying that, i do like the amount of templates that are available and the opportunity to have many people collaborate on the one idea or project. With a little further support, this tool could go from good to great. thanks for the design. ",5
3074457347450195215,its just feels noisy and unstable to use. but the functionality is great the features and the aspects of it are cool. ,5
3074457347106234941,better integration with tablet,6
3074457346836090864,Nothing. Miro is a great tool and suitable for us. thank you.,6
3074457347411503279,"Miro seems limited to a certain kind of coworking and interactions. i would like to have a more flexible tool regarding the stiking organization for example.
We have problems when sticking with 3 persons in the same frame (difficulties to position the sticky notes). I would like to be able to share a free view access with memebers of other organizations.",6
3074457347048079949,There is only one shape of mindmap! we need more hierarchy diagrams template and more control over arrows,6
3074457345986593285,"Clarity on rules for free account. It's really confusing which 5 boards are editable,m how many teams per profile. I just don't get it, and frightens me to commit my work to such a confusing security and ""free""ness environment.",6
3074457345986593285,"Clarity on rules for free account. It's really confusing which 5 boards are editable,m how many teams per profile. I just don't get it, and frightens me to commit my work to such a confusing security and ""free""ness environment.",6
3074457346007131563,"It's to much clicking and rearranging.
I would like to make everything uniform sizewise and looks wise.
I would  like to create ""forms"" within miro. I want to create my own custom cards where only certain things can be changed.
",6
3074457348037746497,´porque no se sabe porque se bloquean las tablas y dejan de ser editables,6
3074457346022618444,the plans for individual freelancers are not comfotable. previous plan when a freelancer could invite 3 people on any board as much more comfortable,6
3074457346625777741,"Uncomfortable log in, no way lo log in once for a long period of time. Work on usability of your app, work on ease of use. Last time i opened Miro i wanted to delete it. I had hatefull lgging in expereince. ",6
3074457346397945006,"I find it hard to efficiently select multiple elements in a document, and move them while maintaining their position (i.e while holding shift). While this might not be a dealbreaker for others, it is important for me as I often create flowcharts and diagrams that need to be cleaned up and aligned towards the end. I do it very often, and it is frustrating most of the times. Other than that, I enjoy thee apps and templates very much! I wish there was a way to select icons from the same author though (Iconfinder), as I currently have to manually look through icons and match up their visual styles before I can add the to the document.",6
3074457347324663839,"add lists to mindmaps, attaching emails. files as icons
",6
3074457346246659467,There are no suitable new plans for teachers,6
3074457347122470066,"it's awful to insert table and text into it. compare with axure, google presentationm,..",6
3074457347122470066,"it's awful to insert table and text into it. compare with axure, google presentationm,..",6
3074457346548575387,The text formatting and general re-sizing of a sticky note is very frustrating,6
3074457347155433659,Usability of the retro board is a bit rough on a non-tablet device,6
3074457347202653990,More powerful mindmapping.,7
3074457347714865599,"No anonymous sharing with e.g. Externals for a workshop. Licensing for spontanuous workshops sound like a bad plan to me. Competitors have solved this issue better. Also the amound of templates is quite limited, compared to other. For me enough... what I really like is the easy way to create visualization and to brainstorm",7
3074457347080982062,give us free editable board more than 3. because we're still in college and don't have much money for upgrading. ,7
