user_id,user_registered_date,functional_role
,,
3074457346229831678,,
3074457347992340423,,
3074457347273327571,,
3074457346730712791,,
3074457348300469478,2020-06-05,IT
3074457346480498855,2019-02-27,IT
3074457347118250680,2019-12-26,IT
3074457346133850043,2018-06-22,IT
3074457348054673440,2020-05-19,IT
3074457348452544080,2020-06-16,IT
3074457346905301979,2019-10-04,IT
3074457347571887646,2020-04-10,IT
3074457347653584127,2020-04-18,IT
3074457346445276985,2019-02-09,IT
3074457348259313679,2020-06-03,IT
3074457346953772547,2019-11-13,IT
3074457347914141102,2020-05-08,IT
3074457346708674660,2019-06-23,IT
3074457346452708738,2019-02-13,IT
3074457347061257614,2019-12-02,IT
3074457346117506437,2018-06-04,IT
3074457346655577934,2019-05-24,IT
3074457346434690070,2019-02-04,IT
3074457346643284507,2019-05-19,IT
3074457346165453685,2018-05-10,IT
3074457346548756089,2019-04-02,IT
3074457346332776824,2018-11-30,IT
3074457345919637725,2017-10-10,IT
3074457346408133515,2019-01-21,IT
3074457346870403604,2019-09-20,IT
3074457346759901859,2019-07-24,IT
3074457346261404236,2018-10-15,IT
3074457347061336220,2019-12-02,IT
3074457346656051452,2019-05-24,IT
3074457346403746855,2019-01-18,IT
3074457346146970475,2018-07-09,IT
3074457346138965098,2018-06-28,IT
3074457347659102828,2020-04-19,IT
3074457346549879231,2019-04-02,IT
3074457346788059620,2019-08-08,IT
3074457347214345884,2020-02-04,IT
3074457346101408004,2018-05-18,IT
3074457346596590081,2019-04-25,IT
3074457346501715089,2019-03-10,IT
3074457346811634961,2019-08-22,IT
3074457346804508944,2019-08-19,IT
3074457347970839698,2020-05-13,IT
3074457346565487853,2019-04-09,IT
3074457346187997593,2018-08-30,IT
3074457347300984052,2020-03-02,Other
3074457346771700440,2019-07-30,Other
3074457346604095548,2019-05-03,Other
3074457347219530486,2020-02-05,Other
3074457347312972533,2020-03-04,Other
3074457346668178635,2019-05-30,Other
3074457346034952089,2018-03-14,Other
3074457348556000859,2020-06-23,Other
3074457348382670299,2020-06-15,Other
3074457345942703477,2017-11-14,Other
3074457347918705188,2020-05-09,Other
3074457346783675773,2019-08-01,Other
3074457345903299276,2017-09-15,Other
3074457346181589393,2018-08-23,Other
3074457347642725238,2020-05-10,Other
3074457345880139162,2017-07-24,Other
3074457347279933273,2020-02-24,Other
3074457347569681787,2020-04-09,Other
3074457346503281312,2019-03-11,Other
3074457348140218177,2020-05-26,Other
26615801,2014-01-22,Other
3074457346789772390,2020-02-25,Other
3074457346993125096,2019-11-07,Other
3074457347202653990,2020-01-31,Other
